victim_race,victim_age,victim_sex,city,state,disposition,year
Hispanic,78,Male,Albuquerque,NM,Closed without arrest,2010
Hispanic,17,Male,Albuquerque,NM,Closed by arrest,2010
White,15,Female,Albuquerque,NM,Closed without arrest,2010
Hispanic,32,Male,Albuquerque,NM,Closed by arrest,2010
White,72,Female,Albuquerque,NM,Closed without arrest,2010
White,91,Female,Albuquerque,NM,Open/No arrest,2010
Hispanic,52,Male,Albuquerque,NM,Closed by arrest,2010
Hispanic,52,Female,Albuquerque,NM,Closed by arrest,2010
White,56,Male,Albuquerque,NM,Open/No arrest,2010
Hispanic,43,Male,Albuquerque,NM,Open/No arrest,2010
Hispanic,20,Male,Albuquerque,NM,Closed by arrest,2010
White,Unknown,Male,Albuquerque,NM,Closed without arrest,2010
Hispanic,46,Male,Albuquerque,NM,Open/No arrest,2010
Other,16,Male,Albuquerque,NM,Closed by arrest,2010
Hispanic,54,Male,Albuquerque,NM,Closed by arrest,2010
White,43,Female,Albuquerque,NM,Closed by arrest,2010
Hispanic,52,Male,Albuquerque,NM,Closed by arrest,2010
White,52,Male,Albuquerque,NM,Closed by arrest,2010
White,22,Female,Albuquerque,NM,Closed by arrest,2010
Hispanic,49,Male,Albuquerque,NM,Closed by arrest,2010
Black,15,Male,Albuquerque,NM,Closed by arrest,2010
Black,25,Male,Albuquerque,NM,Closed by arrest,2010
White,20,Male,Albuquerque,NM,Closed by arrest,2010
Other,47,Male,Albuquerque,NM,Closed by arrest,2010
White,88,Female,Albuquerque,NM,Closed without arrest,2010
Hispanic,27,Female,Albuquerque,NM,Closed by arrest,2010
White,36,Female,Albuquerque,NM,Closed without arrest,2010
White,47,Female,Albuquerque,NM,Closed without arrest,2010
Asian,1,Female,Albuquerque,NM,Closed without arrest,2010
Hispanic,58,Male,Albuquerque,NM,Open/No arrest,2010
Hispanic,42,Male,Albuquerque,NM,Closed without arrest,2010
Hispanic,50,Male,Albuquerque,NM,Closed by arrest,2010
Other,3,Female,Albuquerque,NM,Closed by arrest,2010
Hispanic,1,Male,Albuquerque,NM,Closed by arrest,2010
Hispanic,21,Female,Albuquerque,NM,Closed by arrest,2010
Hispanic,19,Female,Albuquerque,NM,Closed by arrest,2010
Hispanic,46,Male,Albuquerque,NM,Closed by arrest,2011
Other,95,Female,Albuquerque,NM,Closed without arrest,2010
White,24,Male,Albuquerque,NM,Closed by arrest,2010
White,41,Male,Albuquerque,NM,Closed by arrest,2010
White,50,Male,Albuquerque,NM,Closed by arrest,2010
White,51,Male,Albuquerque,NM,Closed by arrest,2010
Black,18,Male,Albuquerque,NM,Closed by arrest,2010
Other,36,Male,Albuquerque,NM,Closed by arrest,2010
Black,18,Male,Albuquerque,NM,Closed by arrest,2010
Other,27,Male,Albuquerque,NM,Closed by arrest,2010
White,8,Male,Albuquerque,NM,Closed by arrest,2011
Hispanic,43,Male,Albuquerque,NM,Closed by arrest,2011
White,22,Female,Albuquerque,NM,Closed by arrest,2011
Hispanic,36,Male,Albuquerque,NM,Closed by arrest,2011
White,64,Female,Albuquerque,NM,Closed by arrest,2011
Hispanic,30,Male,Albuquerque,NM,Closed by arrest,2011
Other,2,Male,Albuquerque,NM,Closed by arrest,2011
Black,52,Male,Albuquerque,NM,Closed by arrest,2011
White,39,Male,Albuquerque,NM,Closed by arrest,2011
White,50,Female,Albuquerque,NM,Closed by arrest,2011
Other,49,Male,Albuquerque,NM,Closed by arrest,2011
Black,45,Male,Albuquerque,NM,Closed by arrest,2011
Black,42,Male,Albuquerque,NM,Closed by arrest,2011
Hispanic,Unknown,Female,Albuquerque,NM,Open/No arrest,2011
White,49,Male,Albuquerque,NM,Closed by arrest,2011
Hispanic,19,Male,Albuquerque,NM,Closed by arrest,2011
White,49,Male,Albuquerque,NM,Closed by arrest,2011
Black,36,Male,Albuquerque,NM,Open/No arrest,2011
White,49,Male,Albuquerque,NM,Closed by arrest,2011
White,43,Male,Albuquerque,NM,Open/No arrest,2011
Black,31,Male,Albuquerque,NM,Open/No arrest,2011
White,0,Male,Albuquerque,NM,Closed by arrest,2011
Other,0,Male,Albuquerque,NM,Closed by arrest,2011
Other,23,Male,Albuquerque,NM,Closed by arrest,2011
Hispanic,30,Female,Albuquerque,NM,Closed without arrest,2011
Hispanic,32,Male,Albuquerque,NM,Closed by arrest,2011
Hispanic,51,Male,Albuquerque,NM,Open/No arrest,2011
Hispanic,16,Male,Albuquerque,NM,Closed by arrest,2011
Hispanic,28,Female,Albuquerque,NM,Closed without arrest,2011
Hispanic,35,Female,Albuquerque,NM,Open/No arrest,2011
Hispanic,26,Male,Albuquerque,NM,Closed by arrest,2011
White,18,Female,Albuquerque,NM,Closed by arrest,2011
White,23,Male,Albuquerque,NM,Closed by arrest,2011
Black,40,Male,Albuquerque,NM,Open/No arrest,2011
Other,52,Female,Albuquerque,NM,Closed by arrest,2011
Hispanic,19,Male,Albuquerque,NM,Closed by arrest,2011
Hispanic,19,Male,Albuquerque,NM,Open/No arrest,2011
Other,42,Male,Albuquerque,NM,Closed without arrest,2012
Hispanic,17,Male,Albuquerque,NM,Closed by arrest,2012
Hispanic,45,Male,Albuquerque,NM,Closed by arrest,2012
Hispanic,21,Male,Albuquerque,NM,Open/No arrest,2012
Hispanic,42,Male,Albuquerque,NM,Closed by arrest,2012
White,42,Male,Albuquerque,NM,Closed without arrest,2012
White,94,Female,Albuquerque,NM,Open/No arrest,2012
Hispanic,33,Male,Albuquerque,NM,Closed by arrest,2012
Hispanic,33,Male,Albuquerque,NM,Closed by arrest,2012
Black,57,Male,Albuquerque,NM,Closed by arrest,2012
Black,55,Male,Albuquerque,NM,Open/No arrest,2012
Other,29,Female,Albuquerque,NM,Closed by arrest,2012
Hispanic,53,Male,Albuquerque,NM,Closed by arrest,2012
Hispanic,17,Male,Albuquerque,NM,Open/No arrest,2012
White,16,Male,Albuquerque,NM,Open/No arrest,2012
Hispanic,23,Male,Albuquerque,NM,Closed by arrest,2012
Other,42,Male,Albuquerque,NM,Closed by arrest,2012
Hispanic,25,Female,Albuquerque,NM,Closed by arrest,2012
Hispanic,26,Female,Albuquerque,NM,Closed by arrest,2012
Unknown,Unknown,Unknown,Albuquerque,NM,Closed by arrest,2012
White,66,Female,Albuquerque,NM,Closed without arrest,2012
Hispanic,5,Male,Albuquerque,NM,Closed by arrest,2012
Other,74,Male,Albuquerque,NM,Closed without arrest,2012
Black,20,Male,Albuquerque,NM,Closed by arrest,2012
Other,20,Male,Albuquerque,NM,Closed by arrest,2012
White,69,Male,Albuquerque,NM,Open/No arrest,2012
White,37,Male,Albuquerque,NM,Closed by arrest,2012
Other,30,Male,Albuquerque,NM,Closed by arrest,2012
White,36,Male,Albuquerque,NM,Closed by arrest,2012
White,59,Male,Albuquerque,NM,Closed by arrest,2012
Hispanic,33,Male,Albuquerque,NM,Closed by arrest,2012
Hispanic,2,Male,Albuquerque,NM,Closed by arrest,2012
White,40,Female,Albuquerque,NM,Closed by arrest,2012
White,20,Male,Albuquerque,NM,Closed by arrest,2012
White,36,Female,Albuquerque,NM,Closed by arrest,2012
Black,57,Male,Albuquerque,NM,Open/No arrest,2012
Other,55,Male,Albuquerque,NM,Closed by arrest,2012
White,49,Male,Albuquerque,NM,Open/No arrest,2012
White,Unknown,Female,Albuquerque,NM,Closed by arrest,2012
Hispanic,54,Male,Albuquerque,NM,Closed without arrest,2012
Black,34,Male,Albuquerque,NM,Closed without arrest,2012
Other,26,Male,Albuquerque,NM,Closed by arrest,2012
Hispanic,1,Female,Albuquerque,NM,Closed by arrest,2012
White,45,Male,Albuquerque,NM,Closed by arrest,2012
Hispanic,27,Male,Albuquerque,NM,Closed by arrest,2012
Hispanic,1,Female,Albuquerque,NM,Closed by arrest,2012
White,43,Male,Albuquerque,NM,Closed by arrest,2013
White,38,Male,Albuquerque,NM,Open/No arrest,2013
Hispanic,19,Female,Albuquerque,NM,Closed without arrest,2013
Hispanic,26,Male,Albuquerque,NM,Closed without arrest,2013
Black,26,Male,Albuquerque,NM,Closed by arrest,2013
Other,38,Male,Albuquerque,NM,Closed by arrest,2013
Hispanic,28,Male,Albuquerque,NM,Closed without arrest,2013
Other,44,Female,Albuquerque,NM,Closed by arrest,2013
White,74,Female,Albuquerque,NM,Closed without arrest,2013
White,8,Female,Albuquerque,NM,Closed by arrest,2013
White,33,Female,Albuquerque,NM,Closed without arrest,2013
White,33,Male,Albuquerque,NM,Closed without arrest,2013
Black,28,Male,Albuquerque,NM,Closed by arrest,2013
Hispanic,27,Male,Albuquerque,NM,Open/No arrest,2013
Hispanic,14,Male,Albuquerque,NM,Closed without arrest,2013
White,40,Male,Albuquerque,NM,Closed by arrest,2013
Black,34,Male,Albuquerque,NM,Closed without arrest,2013
White,32,Male,Albuquerque,NM,Closed without arrest,2013
White,59,Male,Albuquerque,NM,Closed by arrest,2013
Hispanic,38,Male,Albuquerque,NM,Closed without arrest,2013
White,58,Female,Albuquerque,NM,Closed without arrest,2013
White,36,Male,Albuquerque,NM,Closed by arrest,2013
Hispanic,56,Male,Albuquerque,NM,Open/No arrest,2013
White,42,Male,Albuquerque,NM,Closed by arrest,2013
Hispanic,31,Female,Albuquerque,NM,Closed by arrest,2013
Hispanic,21,Male,Albuquerque,NM,Closed by arrest,2013
Hispanic,15,Male,Albuquerque,NM,Closed by arrest,2013
Hispanic,41,Male,Albuquerque,NM,Closed by arrest,2013
Hispanic,20,Male,Albuquerque,NM,Open/No arrest,2013
Hispanic,21,Male,Albuquerque,NM,Open/No arrest,2013
Hispanic,30,Male,Albuquerque,NM,Closed by arrest,2013
Other,22,Female,Albuquerque,NM,Closed by arrest,2013
Black,9,Male,Albuquerque,NM,Closed by arrest,2013
Black,44,Male,Albuquerque,NM,Open/No arrest,2014
White,43,Female,Albuquerque,NM,Closed by arrest,2014
Other,Unknown,Female,Albuquerque,NM,Closed by arrest,2014
Other,0,Female,Albuquerque,NM,Closed by arrest,2014
White,53,Female,Albuquerque,NM,Closed by arrest,2014
White,65,Male,Albuquerque,NM,Closed by arrest,2014
Other,30,Male,Albuquerque,NM,Open/No arrest,2014
White,26,Female,Albuquerque,NM,Closed by arrest,2014
Other,53,Female,Albuquerque,NM,Open/No arrest,2014
White,0,Male,Albuquerque,NM,Closed by arrest,2014
White,53,Female,Albuquerque,NM,Open/No arrest,2014
Other,44,Male,Albuquerque,NM,Closed by arrest,2014
Other,46,Male,Albuquerque,NM,Closed by arrest,2014
White,22,Male,Albuquerque,NM,Open/No arrest,2014
White,27,Female,Albuquerque,NM,Closed without arrest,2014
White,53,Female,Albuquerque,NM,Closed by arrest,2014
White,27,Male,Albuquerque,NM,Closed by arrest,2014
White,24,Male,Albuquerque,NM,Closed by arrest,2014
Black,33,Male,Albuquerque,NM,Closed by arrest,2014
White,90,Female,Albuquerque,NM,Closed without arrest,2014
Black,23,Male,Albuquerque,NM,Open/No arrest,2014
Black,47,Male,Albuquerque,NM,Closed by arrest,2014
Black,48,Male,Albuquerque,NM,Closed by arrest,2014
Unknown,Unknown,Unknown,Albuquerque,NM,Closed by arrest,2016
Black,37,Male,Albuquerque,NM,Closed by arrest,2014
White,23,Male,Albuquerque,NM,Closed by arrest,2014
Black,21,Female,Albuquerque,NM,Closed by arrest,2014
White,22,Male,Albuquerque,NM,Closed by arrest,2014
Black,34,Male,Albuquerque,NM,Closed by arrest,2014
White,21,Male,Albuquerque,NM,Closed by arrest,2015
White,48,Male,Albuquerque,NM,Closed by arrest,2015
White,21,Male,Albuquerque,NM,Open/No arrest,2015
Hispanic,45,Female,Albuquerque,NM,Closed without arrest,2015
White,43,Male,Albuquerque,NM,Closed by arrest,2015
White,25,Male,Albuquerque,NM,Closed by arrest,2015
White,36,Male,Albuquerque,NM,Closed without arrest,2015
Unknown,Unknown,Unknown,Albuquerque,NM,Closed without arrest,2015
Hispanic,32,Male,Albuquerque,NM,Open/No arrest,2015
Other,43,Male,Albuquerque,NM,Closed by arrest,2015
Unknown,Unknown,Unknown,Albuquerque,NM,Closed by arrest,2015
White,31,Female,Albuquerque,NM,Open/No arrest,2015
Black,17,Male,Albuquerque,NM,Open/No arrest,2015
White,23,Male,Albuquerque,NM,Closed by arrest,2015
Black,31,Unknown,Albuquerque,NM,Closed without arrest,2015
Other,62,Male,Albuquerque,NM,Closed without arrest,2015
White,57,Male,Albuquerque,NM,Closed by arrest,2015
White,18,Female,Albuquerque,NM,Closed by arrest,2015
White,64,Female,Albuquerque,NM,Closed without arrest,2015
Unknown,Unknown,Unknown,Albuquerque,NM,Closed without arrest,2015
Unknown,Unknown,Unknown,Albuquerque,NM,Closed without arrest,2015
Unknown,Unknown,Unknown,Albuquerque,NM,Closed without arrest,2015
Black,42,Male,Albuquerque,NM,Closed without arrest,2015
Unknown,Unknown,Male,Albuquerque,NM,Closed by arrest,2015
White,60,Male,Albuquerque,NM,Closed without arrest,2015
White,17,Male,Albuquerque,NM,Closed by arrest,2015
Other,49,Female,Albuquerque,NM,Open/No arrest,2015
Other,49,Female,Albuquerque,NM,Open/No arrest,2017
White,29,Male,Albuquerque,NM,Closed by arrest,2015
White,14,Male,Albuquerque,NM,Closed by arrest,2015
White,21,Male,Albuquerque,NM,Closed by arrest,2015
White,0,Female,Albuquerque,NM,Closed by arrest,2015
White,54,Male,Albuquerque,NM,Closed by arrest,2015
Unknown,Unknown,Unknown,Albuquerque,NM,Closed by arrest,2015
White,62,Male,Albuquerque,NM,Open/No arrest,2015
White,49,Male,Albuquerque,NM,Closed by arrest,2015
White,60,Male,Albuquerque,NM,Closed by arrest,2015
Unknown,Unknown,Unknown,Albuquerque,NM,Closed by arrest,2016
Black,31,Male,Albuquerque,NM,Closed by arrest,2015
White,69,Male,Albuquerque,NM,Closed by arrest,2015
White,30,Male,Albuquerque,NM,Closed by arrest,2015
White,1,Female,Albuquerque,NM,Closed by arrest,2015
Other,37,Male,Albuquerque,NM,Open/No arrest,2015
Other,44,Male,Albuquerque,NM,Closed by arrest,2015
White,4,Female,Albuquerque,NM,Closed by arrest,2015
Unknown,Unknown,Unknown,Albuquerque,NM,Closed by arrest,2015
White,34,Female,Albuquerque,NM,Closed by arrest,2015
White,29,Male,Albuquerque,NM,Open/No arrest,2015
White,33,Male,Albuquerque,NM,Open/No arrest,2015
White,21,Male,Albuquerque,NM,Open/No arrest,2015
Other,55,Male,Albuquerque,NM,Closed by arrest,2015
White,18,Male,Albuquerque,NM,Closed by arrest,2015
White,25,Male,Albuquerque,NM,Closed by arrest,2016
White,43,Male,Albuquerque,NM,Closed by arrest,2016
Other,27,Female,Albuquerque,NM,Closed by arrest,2016
White,30,Female,Albuquerque,NM,Closed by arrest,2016
Other,32,Male,Albuquerque,NM,Open/No arrest,2016
White,24,Male,Albuquerque,NM,Closed by arrest,2016
Other,38,Male,Albuquerque,NM,Closed by arrest,2016
White,1,Male,Albuquerque,NM,Closed by arrest,2016
White,24,Male,Albuquerque,NM,Closed by arrest,2016
White,Unknown,Female,Albuquerque,NM,Closed by arrest,2016
White,58,Female,Albuquerque,NM,Closed without arrest,2016
White,37,Male,Albuquerque,NM,Closed by arrest,2016
White,26,Male,Albuquerque,NM,Open/No arrest,2016
Asian,31,Male,Albuquerque,NM,Closed without arrest,2016
Asian,31,Male,Albuquerque,NM,Closed without arrest,2016
White,31,Male,Albuquerque,NM,Closed by arrest,2016
White,52,Male,Albuquerque,NM,Closed by arrest,2016
White,30,Male,Albuquerque,NM,Closed by arrest,2016
White,33,Male,Albuquerque,NM,Closed by arrest,2016
White,25,Male,Albuquerque,NM,Open/No arrest,2016
White,33,Male,Albuquerque,NM,Open/No arrest,2016
Other,28,Male,Albuquerque,NM,Open/No arrest,2016
White,31,Male,Albuquerque,NM,Open/No arrest,2016
White,31,Male,Albuquerque,NM,Open/No arrest,2016
White,46,Male,Albuquerque,NM,Closed by arrest,2016
White,23,Male,Albuquerque,NM,Closed by arrest,2016
White,52,Male,Albuquerque,NM,Closed by arrest,2016
White,26,Female,Albuquerque,NM,Closed by arrest,2016
White,22,Male,Albuquerque,NM,Closed by arrest,2016
Unknown,Unknown,Unknown,Albuquerque,NM,Closed by arrest,2016
White,49,Male,Albuquerque,NM,Closed by arrest,2016
Other,33,Male,Albuquerque,NM,Closed by arrest,2016
Other,53,Male,Albuquerque,NM,Open/No arrest,2016
White,35,Female,Albuquerque,NM,Closed by arrest,2016
Unknown,46,Male,Albuquerque,NM,Open/No arrest,2016
White,27,Male,Albuquerque,NM,Open/No arrest,2016
White,20,Male,Albuquerque,NM,Open/No arrest,2016
Black,70,Male,Albuquerque,NM,Closed by arrest,2016
Black,59,Female,Albuquerque,NM,Open/No arrest,2016
White,34,Male,Albuquerque,NM,Open/No arrest,2016
White,24,Male,Albuquerque,NM,Closed by arrest,2016
White,24,Male,Albuquerque,NM,Closed by arrest,2016
White,Unknown,Male,Albuquerque,NM,Closed by arrest,2016
White,10,Female,Albuquerque,NM,Closed by arrest,2016
Asian,39,Female,Albuquerque,NM,Closed without arrest,2016
Asian,11,Female,Albuquerque,NM,Closed without arrest,2016
White,23,Male,Albuquerque,NM,Closed by arrest,2016
White,39,Male,Albuquerque,NM,Closed by arrest,2016
White,47,Male,Albuquerque,NM,Closed by arrest,2016
Asian,30,Male,Albuquerque,NM,Open/No arrest,2016
White,22,Male,Albuquerque,NM,Open/No arrest,2016
White,31,Male,Albuquerque,NM,Closed by arrest,2016
Unknown,63,Male,Albuquerque,NM,Open/No arrest,2016
White,33,Male,Albuquerque,NM,Closed by arrest,2016
White,9,Male,Albuquerque,NM,Closed without arrest,2016
White,6,Female,Albuquerque,NM,Closed without arrest,2016
White,5,Male,Albuquerque,NM,Closed without arrest,2016
White,32,Male,Albuquerque,NM,Closed by arrest,2016
Unknown,42,Male,Albuquerque,NM,Open/No arrest,2016
White,55,Male,Albuquerque,NM,Closed by arrest,2016
White,54,Male,Albuquerque,NM,Closed by arrest,2016
Unknown,Unknown,Male,Albuquerque,NM,Open/No arrest,2017
Unknown,Unknown,Female,Albuquerque,NM,Open/No arrest,2017
Black,39,Male,Albuquerque,NM,Open/No arrest,2017
Unknown,20,Female,Albuquerque,NM,Closed by arrest,2017
Unknown,39,Male,Albuquerque,NM,Closed by arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,43,Male,Albuquerque,NM,Closed by arrest,2017
Unknown,50,Male,Albuquerque,NM,Closed by arrest,2017
White,26,Male,Albuquerque,NM,Open/No arrest,2017
White,58,Male,Albuquerque,NM,Closed by arrest,2017
Hispanic,30,Male,Albuquerque,NM,Closed by arrest,2017
Unknown,21,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,30,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,42,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,30,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Closed without arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,66,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,44,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,32,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,27,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,25,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,39,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,24,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,19,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,19,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,59,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,59,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,73,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,17,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,41,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,34,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,56,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,25,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,20,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,23,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,21,Unknown,Albuquerque,NM,Closed without arrest,2017
Unknown,40,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,19,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,22,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,Unknown,Unknown,Albuquerque,NM,Open/No arrest,2017
Unknown,31,Unknown,Albuquerque,NM,Closed by arrest,2017
Unknown,39,Unknown,Albuquerque,NM,Open/No arrest,2017
Black,29,Male,Atlanta,GA,Closed by arrest,2007
Black,29,Male,Atlanta,GA,Closed by arrest,2007
Hispanic,36,Male,Atlanta,GA,Closed by arrest,2007
Black,26,Male,Atlanta,GA,Closed by arrest,2007
Black,75,Male,Atlanta,GA,Open/No arrest,2007
Black,22,Male,Atlanta,GA,Open/No arrest,2007
Black,40,Male,Atlanta,GA,Closed by arrest,2007
Black,1,Female,Atlanta,GA,Closed by arrest,2007
Black,25,Male,Atlanta,GA,Closed by arrest,2007
Black,25,Male,Atlanta,GA,Open/No arrest,2007
Black,46,Male,Atlanta,GA,Closed by arrest,2007
Black,66,Male,Atlanta,GA,Open/No arrest,2007
Black,20,Male,Atlanta,GA,Open/No arrest,2007
Black,55,Male,Atlanta,GA,Open/No arrest,2007
Black,35,Male,Atlanta,GA,Open/No arrest,2007
Black,35,Male,Atlanta,GA,Closed by arrest,2007
Black,23,Male,Atlanta,GA,Open/No arrest,2007
Black,28,Male,Atlanta,GA,Open/No arrest,2007
White,29,Male,Atlanta,GA,Closed by arrest,2007
White,25,Female,Atlanta,GA,Closed by arrest,2007
Black,29,Male,Atlanta,GA,Closed by arrest,2007
Black,22,Female,Atlanta,GA,Closed by arrest,2007
Black,16,Male,Atlanta,GA,Closed by arrest,2007
Black,41,Female,Atlanta,GA,Open/No arrest,2007
Black,23,Male,Atlanta,GA,Open/No arrest,2007
Black,2,Female,Atlanta,GA,Closed by arrest,2007
Black,29,Male,Atlanta,GA,Closed by arrest,2007
Hispanic,35,Male,Atlanta,GA,Closed without arrest,2007
Black,58,Male,Atlanta,GA,Open/No arrest,2007
Hispanic,35,Male,Atlanta,GA,Open/No arrest,2007
Black,22,Male,Atlanta,GA,Closed by arrest,2007
Black,19,Male,Atlanta,GA,Closed by arrest,2007
Black,40,Male,Atlanta,GA,Closed by arrest,2007
White,23,Male,Atlanta,GA,Closed by arrest,2007
Black,32,Male,Atlanta,GA,Open/No arrest,2007
Black,22,Male,Atlanta,GA,Open/No arrest,2007
Black,17,Male,Atlanta,GA,Closed by arrest,2007
Black,26,Male,Atlanta,GA,Closed by arrest,2007
Black,34,Male,Atlanta,GA,Closed without arrest,2007
Black,29,Male,Atlanta,GA,Open/No arrest,2007
Black,25,Male,Atlanta,GA,Open/No arrest,2007
White,63,Male,Atlanta,GA,Open/No arrest,2007
Black,55,Male,Atlanta,GA,Open/No arrest,2007
White,47,Male,Atlanta,GA,Closed by arrest,2007
Black,35,Male,Atlanta,GA,Open/No arrest,2007
Black,31,Male,Atlanta,GA,Open/No arrest,2007
Black,20,Male,Atlanta,GA,Open/No arrest,2007
Black,35,Male,Atlanta,GA,Open/No arrest,2007
Black,24,Male,Atlanta,GA,Open/No arrest,2007
Black,35,Male,Atlanta,GA,Closed by arrest,2007
Black,1,Female,Atlanta,GA,Closed without arrest,2007
Black,59,Male,Atlanta,GA,Closed by arrest,2007
Black,23,Male,Atlanta,GA,Open/No arrest,2007
Black,17,Male,Atlanta,GA,Closed without arrest,2007
Black,17,Female,Atlanta,GA,Closed without arrest,2007
Black,27,Male,Atlanta,GA,Open/No arrest,2007
Black,19,Male,Atlanta,GA,Closed by arrest,2007
Black,18,Male,Atlanta,GA,Closed by arrest,2007
Black,56,Male,Atlanta,GA,Closed by arrest,2007
Black,40,Male,Atlanta,GA,Closed by arrest,2007
Black,22,Male,Atlanta,GA,Open/No arrest,2007
Black,43,Male,Atlanta,GA,Open/No arrest,2007
Black,24,Male,Atlanta,GA,Closed by arrest,2007
Black,46,Male,Atlanta,GA,Closed by arrest,2007
White,68,Male,Atlanta,GA,Closed by arrest,2007
Black,24,Male,Atlanta,GA,Closed by arrest,2007
Black,22,Male,Atlanta,GA,Closed by arrest,2007
Black,33,Male,Atlanta,GA,Closed by arrest,2007
Black,47,Male,Atlanta,GA,Closed by arrest,2007
Black,27,Male,Atlanta,GA,Closed without arrest,2007
Black,28,Male,Atlanta,GA,Closed without arrest,2007
Black,22,Female,Atlanta,GA,Closed without arrest,2007
Black,26,Female,Atlanta,GA,Closed without arrest,2007
Black,36,Male,Atlanta,GA,Closed by arrest,2007
Black,9,Female,Atlanta,GA,Closed by arrest,2007
Black,29,Male,Atlanta,GA,Open/No arrest,2007
Black,41,Male,Atlanta,GA,Open/No arrest,2007
Black,54,Male,Atlanta,GA,Closed by arrest,2007
Black,48,Male,Atlanta,GA,Open/No arrest,2007
Black,21,Male,Atlanta,GA,Closed by arrest,2007
Black,20,Male,Atlanta,GA,Closed without arrest,2007
Black,43,Male,Atlanta,GA,Open/No arrest,2007
Hispanic,23,Male,Atlanta,GA,Open/No arrest,2007
Black,23,Male,Atlanta,GA,Open/No arrest,2007
White,21,Male,Atlanta,GA,Closed by arrest,2007
Black,51,Male,Atlanta,GA,Closed by arrest,2007
Hispanic,34,Male,Atlanta,GA,Open/No arrest,2007
